时间,重量,总数
2026-04-19 14:59:20,100.000,1
2026-04-19 14:59:24,100.000,2
2026-04-19 14:59:31,100.000,3
2026-04-19 14:59:36,100.000,4
2026-04-19 14:59:45,100.000,1
2026-04-19 15:44:17,100.000,1
2026-04-19 15:44:20,100.000,2
2026-04-19 15:44:24,100.000,3
2026-04-19 15:44:28,100.000,4
2026-04-19 15:44:33,100.000,5
2026-04-19 15:44:40,100.000,6
2026-04-19 15:44:44,100.000,7
2026-04-19 15:44:51,100.000,1
2026-04-19 15:45:44,100.000,2
2026-04-19 15:59:14,100.000,1
2026-04-19 15:59:18,100.000,2
2026-04-19 16:00:59,100.000,1
2026-04-19 16:01:02,100.000,2
2026-04-19 16:08:08,100.000,1
2026-04-19 16:08:12,100.000,2
2026-04-19 16:08:15,100.000,3
2026-04-19 16:08:19,100.000,4
2026-04-19 16:08:22,100.000,5
2026-04-19 16:08:35,100.000,6
2026-04-19 16:08:39,100.000,7
2026-04-19 16:08:43,100.000,8
2026-04-19 16:15:51,100.000,1
2026-04-19 16:15:55,100.000,2
2026-04-19 16:15:58,100.000,3
2026-04-19 16:16:02,100.000,4
2026-04-19 16:16:05,100.000,5
2026-04-19 16:17:01,100.000,6
2026-04-19 16:17:05,100.000,7
2026-04-19 16:18:02,100.000,8
2026-04-19 16:18:06,100.000,9
2026-04-19 16:18:13,100.000,10
2026-04-19 16:18:23,100.000,11
2026-04-19 16:18:27,100.000,12
2026-04-19 16:18:34,100.000,13
2026-04-19 16:18:39,100.000,14
2026-04-19 16:18:44,100.000,15
2026-04-19 16:19:11,100.000,1
2026-04-19 16:19:14,100.000,2
2026-04-19 16:19:18,100.000,3
2026-04-19 16:19:21,100.000,4
2026-04-19 16:19:25,100.000,5
2026-04-19 16:19:29,100.000,6
2026-04-19 16:19:32,100.000,7
2026-04-19 16:19:37,100.000,8
2026-04-19 16:39:13,100.000,1
2026-04-19 16:39:20,100.000,2
2026-04-19 16:54:08,100.000,1
2026-04-19 16:54:17,100.000,2
2026-04-19 16:54:21,100.000,3
2026-04-19 16:54:27,100.000,4
2026-04-19 16:54:39,100.000,5
2026-04-19 16:54:57,100.000,6
2026-04-19 17:14:11,100.000,1
2026-04-19 17:14:16,100.000,2
2026-04-19 17:14:21,100.000,3
2026-04-19 17:14:34,100.000,4
2026-04-19 17:14:40,100.000,5
2026-04-19 17:14:49,100.000,6
