时间,重量,总数
2026-04-20 09:44:27,100.000,1
2026-04-20 09:44:32,100.000,2
2026-04-20 09:44:36,100.000,3
2026-04-20 09:44:40,100.000,4
2026-04-20 09:44:44,100.000,5
2026-04-20 09:44:49,100.000,6
2026-04-20 09:44:54,100.000,7
2026-04-20 09:44:59,100.000,8
2026-04-20 09:45:04,100.000,9
2026-04-20 09:45:12,100.000,10
2026-04-20 09:46:33,100.000,1
2026-04-20 09:46:37,100.000,2
2026-04-20 09:46:41,100.000,3
2026-04-20 09:46:45,100.000,4
2026-04-20 09:46:48,100.000,5
2026-04-20 09:46:52,100.000,6
2026-04-20 09:46:55,100.000,7
2026-04-20 09:46:59,100.000,8
2026-04-20 09:47:02,100.000,9
2026-04-20 09:47:07,100.000,10
2026-04-20 09:47:13,100.000,11
2026-04-20 10:42:03,100.000,1
2026-04-20 10:42:07,100.000,2
2026-04-20 10:42:10,100.000,3
2026-04-20 10:42:17,100.000,4
2026-04-20 10:42:20,100.000,5
2026-04-20 10:42:24,100.000,6
2026-04-20 10:42:28,100.000,7
2026-04-20 11:33:43,100.000,1
2026-04-20 11:33:46,100.000,2
2026-04-20 11:33:51,100.000,3
2026-04-20 11:33:55,100.000,4
2026-04-20 11:33:58,100.000,5
2026-04-20 12:19:35,100.000,1
2026-04-20 12:19:39,100.000,2
2026-04-20 12:19:43,100.000,3
2026-04-20 12:19:47,100.000,4
2026-04-20 12:19:51,100.000,5
2026-04-20 12:19:54,100.000,6
2026-04-20 12:19:59,100.000,7
2026-04-20 15:35:40,100.000,1
2026-04-20 15:35:45,100.000,2
2026-04-20 15:35:49,100.000,3
2026-04-20 15:35:53,100.000,4
2026-04-20 15:35:57,100.000,5
2026-04-20 15:36:02,100.000,6
2026-04-20 15:36:31,100.000,7
2026-04-20 15:36:37,100.000,8
2026-04-20 15:37:05,100.000,1
2026-04-20 15:37:35,0.500,1
2026-04-20 15:37:42,0.500,2
2026-04-20 16:10:48,100.000,1
2026-04-20 16:10:52,100.000,2
2026-04-20 16:10:56,100.000,3
2026-04-20 16:11:01,100.000,4
2026-04-20 16:11:07,100.000,5
2026-04-20 16:11:13,100.000,6
2026-04-20 16:11:36,100.000,7
2026-04-20 16:11:40,100.000,8
2026-04-20 16:11:44,100.000,9
2026-04-20 16:11:50,100.000,10
2026-04-20 16:41:32,100.000,1
2026-04-20 16:41:39,100.000,2
2026-04-20 16:41:47,100.000,3
2026-04-20 16:41:52,100.000,4
2026-04-20 16:44:40,100.000,1
2026-04-20 16:44:45,100.000,2
2026-04-20 16:44:50,100.000,3
2026-04-20 16:44:54,100.000,4
2026-04-20 16:45:08,100.000,5
2026-04-20 16:45:12,100.000,6
2026-04-20 16:45:51,100.000,7
2026-04-20 16:46:22,100.000,1
2026-04-20 16:46:30,100.000,2
2026-04-20 16:46:33,100.000,3
2026-04-20 16:46:37,100.000,4
2026-04-20 16:46:41,100.000,5
2026-04-20 16:46:45,100.000,6
2026-04-20 16:46:49,100.000,7
2026-04-20 16:46:53,100.000,8
2026-04-20 16:47:07,100.000,1
2026-04-20 16:47:10,100.000,2
2026-04-20 16:47:14,100.000,3
2026-04-20 16:47:17,100.000,4
2026-04-20 16:58:27,100.000,1
