时间,重量,总数
2026-04-20 16:58:33,100.000,2
2026-04-20 16:58:37,100.000,3
2026-04-20 16:58:42,100.000,4
2026-04-20 16:58:49,100.000,5
2026-04-20 16:58:52,100.000,6
2026-04-20 16:58:57,100.000,7
2026-04-20 17:01:14,100.000,1
2026-04-20 17:01:17,100.000,2
2026-04-20 17:01:22,100.000,3
2026-04-20 17:01:26,100.000,4
2026-04-20 17:01:34,100.000,5
2026-04-20 17:01:40,100.000,6
2026-04-20 17:04:23,100.000,1
2026-04-20 17:04:28,100.000,2
2026-04-20 17:05:41,100.000,1
2026-04-20 17:06:08,100.000,1
2026-04-20 17:06:13,100.000,2
2026-04-20 17:06:17,100.000,3
2026-04-20 17:06:23,100.000,4
2026-04-20 17:06:27,100.000,5
2026-04-20 17:06:35,100.000,6
2026-04-20 17:06:39,100.000,7
2026-04-20 17:06:44,100.000,8
2026-04-20 17:06:50,100.000,9
2026-04-20 17:08:55,100.000,1
2026-04-20 17:09:00,100.000,2
2026-04-20 17:09:07,100.000,3
2026-04-20 17:09:12,100.000,4
2026-04-20 17:30:20,400.000,1
2026-04-20 20:04:59,100.000,1
2026-04-20 20:05:03,100.000,2
2026-04-20 20:05:08,100.000,3
2026-04-20 20:05:14,100.000,4
2026-04-20 20:05:39,100.000,5
2026-04-20 20:05:44,100.000,6
2026-04-20 20:06:13,100.000,7
2026-04-20 20:06:18,100.000,8
2026-04-20 20:06:27,101.000,9
2026-04-20 20:36:27,100.000,1
2026-04-20 20:36:32,100.000,2
2026-04-20 20:36:37,100.000,3
2026-04-20 20:36:42,100.000,4
2026-04-20 20:36:46,100.000,5
2026-04-20 20:36:51,100.000,6
2026-04-20 20:36:55,100.000,7
2026-04-20 20:36:59,100.000,8
2026-04-20 20:37:05,100.000,9
2026-04-20 20:37:23,100.000,10
2026-04-20 20:37:27,100.000,11
2026-04-20 20:37:33,100.000,12
2026-04-20 20:38:19,100.000,13
2026-04-20 20:38:24,100.000,14
2026-04-20 20:38:29,100.000,15
2026-04-20 20:38:37,100.000,16
2026-04-20 20:38:42,100.000,17
2026-04-20 20:42:59,100.000,1
2026-04-20 20:43:03,100.000,2
2026-04-20 20:43:08,100.000,3
2026-04-20 20:43:13,100.000,4
2026-04-20 20:43:19,100.000,5
2026-04-20 20:43:23,100.000,6
2026-04-20 20:43:27,100.000,7
2026-04-20 20:43:32,100.000,8
2026-04-20 21:16:31,100.000,1
2026-04-20 21:16:36,100.000,2
2026-04-20 21:16:40,100.000,3
2026-04-20 21:21:21,100.000,1
2026-04-20 21:21:26,100.000,2
2026-04-20 21:21:30,100.000,3
2026-04-20 21:21:34,100.000,4
