时间,重量,总数
2026-04-21 08:35:13,100.000,1
2026-04-21 08:35:17,100.000,2
2026-04-21 08:35:21,100.000,3
2026-04-21 08:35:26,100.000,4
2026-04-21 08:35:31,100.000,5
2026-04-21 08:35:37,100.000,6
2026-04-21 08:35:41,100.000,7
2026-04-21 08:55:39,100.000,1
2026-04-21 08:55:43,100.000,2
2026-04-21 08:55:49,100.000,3
2026-04-21 08:55:53,100.000,4
2026-04-21 08:55:57,100.000,5
2026-04-21 09:01:11,100.000,1
2026-04-21 09:01:15,100.000,2
2026-04-21 09:01:19,100.000,3
2026-04-21 09:07:45,100.000,1
2026-04-21 09:07:50,100.000,2
2026-04-21 09:07:55,100.000,3
2026-04-21 09:08:03,100.000,4
2026-04-21 09:08:06,100.000,5
2026-04-21 09:10:05,100.000,1
2026-04-21 09:10:09,100.000,2
2026-04-21 09:10:14,100.000,3
2026-04-21 09:10:21,100.000,4
2026-04-21 09:10:25,100.000,5
2026-04-21 09:10:31,100.000,6
2026-04-21 09:12:17,100.000,1
2026-04-21 09:12:21,100.000,2
2026-04-21 09:12:24,100.000,3
2026-04-21 09:12:28,100.000,4
2026-04-21 09:12:31,100.000,5
2026-04-21 09:12:35,100.000,6
2026-04-21 09:12:39,100.000,7
2026-04-21 09:14:45,100.000,1
2026-04-21 09:14:49,100.000,2
2026-04-21 09:14:55,100.000,3
2026-04-21 09:16:21,100.000,1
2026-04-21 09:16:25,100.000,2
2026-04-21 09:17:15,100.000,1
2026-04-21 09:17:20,100.000,2
2026-04-21 09:17:24,100.000,3
2026-04-21 09:17:29,100.000,4
2026-04-21 09:17:32,100.000,5
2026-04-21 09:17:36,100.000,6
2026-04-21 09:17:40,100.000,7
2026-04-21 09:17:56,100.000,8
2026-04-21 10:09:59,100.000,1
2026-04-21 10:10:02,100.000,2
2026-04-21 13:06:25,100.000,1
2026-04-21 13:06:29,100.000,2
2026-04-21 13:07:01,100.000,1
2026-04-21 13:07:05,100.000,2
2026-04-21 13:07:34,100.000,3
2026-04-21 13:07:39,100.000,4
2026-04-21 13:07:49,100.000,1
2026-04-21 13:19:32,100.000,1
2026-04-21 13:19:37,100.000,2
2026-04-21 13:19:42,100.000,3
2026-04-21 13:19:58,100.000,1
2026-04-21 13:20:03,100.000,2
2026-04-21 13:20:09,100.000,3
