时间,重量,总数
2026-05-06 15:44:19,100.000,1
2026-05-06 15:44:24,100.000,2
2026-05-06 15:44:28,100.000,3
2026-05-06 15:44:33,100.000,4
2026-05-06 15:44:40,100.000,5
2026-05-06 15:44:45,100.000,6
2026-05-06 15:48:28,100.000,1
2026-05-06 15:48:32,100.000,2
2026-05-06 15:48:38,100.000,3
2026-05-06 15:48:42,100.000,4
2026-05-06 15:48:46,100.000,5
2026-05-06 15:48:51,100.000,6
2026-05-06 16:00:31,100.000,1
2026-05-06 16:00:36,100.000,2
2026-05-06 16:00:43,100.000,3
2026-05-06 16:00:55,100.000,4
2026-05-06 16:00:59,100.000,5
2026-05-06 16:01:44,100.000,6
2026-05-06 16:01:50,100.000,7
2026-05-06 16:02:17,100.000,1
2026-05-06 16:02:22,100.000,2
2026-05-06 16:02:27,100.000,3
2026-05-06 16:02:32,100.000,4
2026-05-06 16:02:37,100.000,5
2026-05-06 16:02:44,100.000,6
2026-05-06 16:02:49,100.000,10
2026-05-06 16:02:56,100.000,11
2026-05-06 16:32:37,100.000,1
2026-05-06 16:32:42,100.000,2
2026-05-06 16:32:46,100.000,3
2026-05-06 16:32:53,100.000,4
2026-05-06 16:32:58,100.000,5
2026-05-06 16:33:03,100.000,6
2026-05-06 16:33:08,100.000,7
2026-05-06 16:33:14,100.000,10
2026-05-06 16:33:19,100.000,11
2026-05-06 16:33:24,100.000,12
2026-05-06 16:39:52,100.000,1
2026-05-06 16:39:57,100.000,2
2026-05-06 16:40:01,100.000,3
2026-05-06 16:40:06,100.000,4
2026-05-06 16:40:10,100.000,5
2026-05-06 16:46:33,100.000,1
2026-05-06 16:46:37,100.000,2
2026-05-06 16:46:42,100.000,3
2026-05-06 16:46:46,100.000,4
2026-05-06 16:46:50,100.000,5
2026-05-06 16:47:10,100.000,9
2026-05-06 16:54:08,100.000,1
2026-05-06 16:54:13,100.000,2
2026-05-06 16:54:17,100.000,3
2026-05-06 16:54:21,100.000,4
2026-05-06 16:54:25,100.000,5
2026-05-06 16:54:30,100.000,9
2026-05-06 16:57:39,100.000,1
2026-05-06 16:57:43,100.000,2
2026-05-06 16:57:50,100.000,3
2026-05-06 16:57:54,100.000,4
2026-05-06 16:57:58,100.000,5
2026-05-06 17:11:00,100.000,1
2026-05-06 17:11:06,100.000,2
2026-05-06 17:11:10,100.000,3
2026-05-06 17:11:20,100.000,4
2026-05-06 17:11:24,100.000,5
2026-05-06 17:11:28,100.000,6
2026-05-06 17:11:33,100.000,7
2026-05-06 17:11:37,100.000,8
2026-05-06 17:11:40,100.000,9
2026-05-06 17:11:46,100.000,10
2026-05-06 17:11:50,100.000,11
2026-05-06 17:11:54,100.000,12
2026-05-06 17:34:25,100.000,1
2026-05-06 17:34:29,100.000,2
2026-05-06 17:34:33,100.000,3
2026-05-06 17:34:36,100.000,4
2026-05-06 17:34:40,100.000,5
2026-05-06 17:34:45,100.000,6
2026-05-06 17:34:50,100.000,10
2026-05-06 17:46:52,100.000,1
2026-05-06 17:46:56,100.000,2
2026-05-06 17:47:00,100.000,3
2026-05-06 17:47:05,100.000,4
2026-05-06 17:47:09,100.000,5
2026-05-06 17:47:12,100.000,6
2026-05-06 17:47:16,100.000,10
2026-05-06 17:47:20,100.000,11
2026-05-06 17:47:25,100.000,12
2026-05-06 18:08:43,100.000,1
2026-05-06 18:08:47,100.000,2
2026-05-06 18:08:50,100.000,3
2026-05-06 18:08:54,100.000,4
2026-05-06 18:08:59,100.000,5
2026-05-06 18:09:02,100.000,6
2026-05-06 18:09:06,100.000,7
2026-05-06 18:09:10,100.000,8
2026-05-06 18:09:16,100.000,9
2026-05-06 18:09:21,100.000,10
2026-05-06 18:09:25,100.000,11
2026-05-06 18:09:30,100.000,12
2026-05-06 18:39:21,100.000,1
2026-05-06 18:39:26,100.000,2
2026-05-06 18:39:49,100.000,3
2026-05-06 18:56:08,100.000,1
2026-05-06 18:56:11,100.000,2
2026-05-06 18:56:16,100.000,3
2026-05-06 19:11:43,100.000,1
2026-05-06 19:12:00,100.000,2
2026-05-06 19:12:04,100.000,3
2026-05-06 19:12:09,100.000,4
2026-05-06 19:20:59,100.000,1
2026-05-06 19:21:13,100.000,2
2026-05-06 19:21:22,100.000,3
